Catalog Number,Product Name,Product Type,Channel,Species Name,Gene Symbol,Gene Name,Accession,Probe Pairs,Probe Region Begin,Probe Region End 
710108,BaseScope™ LS Probe - BA-Hs-RAP1GDS1-tv5-E4E5,RNAscope LS 2.5 Target Probes,1,Homo sapiens,RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1,NM_001100429.1,1,543,589
710118,BaseScope™ LS Probe - BA-Hs-pre-MIR150-1zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MIR150,microRNA 150,NR_029703.1,1,2,60
710128,BaseScope™ LS Probe - BA-Hs-CT83-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CT83,cancer/testis antigen 83,NM_001017978.3,1,243,287
710138,BaseScope™ LS Probe - BA-Mm-Plcb1-2EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Plcb1,"phospholipase C, beta 1",NM_001145830.1,2,1695,1892
710148,BaseScope™ LS Probe - BA-Mm-Plcb4-2EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Plcb4,"phospholipase C, beta 4",NM_001355153.1,2,529,697
710168,BaseScope™ LS Probe - BA-Mm-Sftpd-2EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Sftpd,surfactant associated protein D,NM_009160.2,2,66,283
710188,BaseScope™ LS Probe - BA-Hs-FAM13A-tv201-E2E3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,,1,154,202
710198,BaseScope™ LS Probe - BA-Hs-FAM13A-tv202-E14E15,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,,1,1909,1953
710208,BaseScope™ LS Probe - BA-Hs-FAM13A-tv205-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,,1,223,268
710218,BaseScope™ LS Probe - BA-Hs-FAM13A-tv212-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,,1,193,237
710228,BaseScope™ LS Probe - BA-Hs-FAM13A-tv220-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,,1,222,267
710238,BaseScope™ LS Probe - BA-Hs-PLEKHM3-E3-circRNA-Junc,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,,1,903,11
710248,BaseScope™ LS Probe - BA-Hs-F12-Intron10-3zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,F12,coagulation factor XII,KP123628.1,3,7348,7526
710268,BaseScope™ LS Probe - BA-pAAV-EGFP-P2A-MAPT-2zz-st,RNAscope LS 2.5 Target Probes,1,Other,,,,2,2169,2296
710278,BaseScope™ LS Probe - BA-Hs-MDM2-tv1-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MDM2,"Homo sapiens MDM2 proto-oncogene (MDM2), transcript variant 1, mRNA",NM_002392.5,1,294,330
710288,BaseScope™ LS Probe - BA-Hs-MDM2-tv3-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MDM2,MDM2 proto-oncogene,NM_001145337.2,1,41,80
710298,BaseScope™ LS Probe - BA-Hs-MAGEA1-1zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MAGEA1,MAGE family member A1,NM_004988.4,4,15,74
710308,BaseScope™ LS Probe - BA-Hs-MAGEA3-1zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MAGEA3,MAGE family member A3,NM_005362.3,1,1482,1585
710318,BaseScope™ LS Probe - BA-Hs-MAGEA4-1zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MAGEA4,MAGE family member A4,NM_001011548.1,1,1200,1276
710328,BaseScope™ LS Probe - BA-Hs-MAGEA10-E2E3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MAGEA10,MAGE family member A10,NM_001251828.1,1,173,213
710338,BaseScope™ LS Probe - BA-Mm-Rac1-3EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Rac1,RAS-related C3 botulinum substrate 1,NM_009007.2,3,412,655
710348,BaseScope™ LS Probe - BA-Rn-Cyp11b1-4zz-st,RNAscope LS 2.5 Target Probes,1,Rattus norvegicus,Cyp11b1,"cytochrome P450, family 11, subfamily b, polypeptide 1",NM_012537.3,4,435,658
710358,BaseScope™ LS Probe - BA-Mm-Cdr1as-circRNA-Junc,RNAscope LS 2.5 Target Probes,1,Other,,,mmu_circ_0001878,1,2896,12
710368,BaseScope™ LS Probe - BA-Mm-Atg5-2EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Atg5,autophagy related 5,NM_053069.6,2,403,551
710378,BaseScope™ LS Probe - BA-Hs-pre-MIR17-1zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MIR17,microRNA 17,NR_029487.1,1,2,74
710388,BaseScope™ LS Probe - BA-Hs-pre-MIR26A1-1zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MIR26A1,microRNA 26a-1,NR_029499.1,1,23,65
710398,BaseScope™ LS Probe - BA-Hs-pre-MIR26A2-1zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MIR26A2,microRNA 26a-2,NR_029847.1,1,24,70
710408,BaseScope™ LS Probe - BA-Hs-RAC1-tvRac1b-E4E5,RNAscope LS 2.5 Target Probes,1,Homo sapiens,RAC1,"Homo sapiens Rac family small GTPase 1 (RAC1), transcript variant Rac1b, mRNA",NM_018890.3,1,497,533
710418,BaseScope™ LS Probe - BA-Mm-Dram1-2EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Dram1,DNA-damage regulated autophagy modulator 1,NM_027878.2,2,254,364
710428,BaseScope™ LS Probe - BA-Hs-TRAC-TALEN-1zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,,1,2,47
710438,BaseScope™ LS Probe - BA-Hs-TRAC-TALEN-1zz-st1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,,1,5,47
710448,BaseScope™ LS Probe - BA-Mm-Mfsd2a-2EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Mfsd2a,major facilitator superfamily domain containing 2A,NM_029662.2,2,371,516
710458,BaseScope™ LS Probe - BA-Hs-FSBP-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,FSBP,fibrinogen silencer binding protein,NM_001256141.1,1,425,471
710468,BaseScope™ LS Probe - BA-Mm-Cpne2-2EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Cpne2,copine II,NM_153507.2,2,1061,1143
710478,BaseScope™ LS Probe - BA-Hs-ADCY1-E4cE4,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,,1,103,141
710488,BaseScope™ LS Probe - BA-Hs-ADCY1-E5E6,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ADCY1,adenylate cyclase 1,NM_021116.3,1,1138,1182
710498,BaseScope™ LS Probe - BA-Hs-TRAPPC12-E7cE7,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,,1,64,106
710508,BaseScope™ LS Probe - BA-Hs-TRAPPC12-E8E9,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TRAPPC12,trafficking protein particle complex 12,NM_016030.5,1,1873,1914
710518,BaseScope™ LS Probe - BA-Hs-PFKP-E6E7,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PFKP,"phosphofructokinase, platelet",NM_002627.4,1,712,751
710528,BaseScope™ LS Probe - BA-Mm-Rgl2-E3E4,RNAscope LS 2.5 Target Probes,1,Mus musculus,Rgl2,ral guanine nucleotide dissociation stimulator-like 2,NM_009059.2,1,427,461
710538,BaseScope™ LS Probe - BA-V-EBV-RPMS1-circRNA-E4E2,RNAscope LS 2.5 Target Probes,1,Other,,,,1,376,8
710548,BaseScope™ LS Probe - BA-Hs-SERPINB5-circRNA-E7E4-O1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,hsa_circ_0047905,1,2621,485
710558,BaseScope™ LS Probe - BA-Hs-PLCG2-2EJ,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PLCG2,phospholipase C gamma 2,NM_002661.4,2,1565,1692
710568,BaseScope™ LS Probe - BA-Hs-NOTUM-3EJ,RNAscope LS 2.5 Target Probes,1,Homo sapiens,NOTUM,"notum, palmitoleoyl-protein carboxylesterase",NM_178493.5,3,569,753
710588,BaseScope™ LS Probe - BA-Hs-COL7A1-E12E13,RNAscope LS 2.5 Target Probes,1,Homo sapiens,COL7A1,collagen type VII alpha 1 chain,NM_000094.3,1,1629,1665
710598,BaseScope™ LS Probe - BA-Hs-COL7A1-E12E14,RNAscope LS 2.5 Target Probes,1,Homo sapiens,COL7A1,collagen type VII alpha 1 chain,NM_000094.3,1,1612,1647
710608,BaseScope™ LS Probe - BA-Hs-COL7A1-E14E16,RNAscope LS 2.5 Target Probes,1,Homo sapiens,COL7A1,collagen type VII alpha 1 chain,NM_000094.3,1,1879,1918
710618,BaseScope™ LS Probe - BA-Hs-COL7A1-E15E16,RNAscope LS 2.5 Target Probes,1,Homo sapiens,COL7A1,collagen type VII alpha 1 chain,NM_000094.3,1,2024,2061
710628,BaseScope™ LS Probe - BA-Mm-Kif9-2EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Kif9,kinesin family member 9,NM_010628.3,2,214,402
710638,BaseScope™ LS Probe - BA-Hs-PDSS2-tvX3-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PDSS2,decaprenyl diphosphate synthase subunit 2,XM_011535958.2,1,655,697
710648,BaseScope™ LS Probe - BA-Hs-pre-MIR126-2zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MIR126,microRNA 126,NR_029695.1,2,2,82
710658,BaseScope™ LS Probe - BA-B-Salmonella-gene4124-1zz-st,RNAscope LS 2.5 Target Probes,1,Other,,,,1,2,44
710668,BaseScope™ LS Probe - BA-Hs-TRDC-CDS-3EJ,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,NG_001332.3:841011-844674,3,242,476
711098,BaseScope™ LS Probe - BA-Mm-Nr1d1-3EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Nr1d1,"nuclear receptor subfamily 1, group D, member 1",NM_145434.4,3,992,1248
711108,BaseScope™ LS Probe - BA-V-EBV-LMP2A-E1E2,RNAscope LS 2.5 Target Probes,1,Other,,,,1,320,368
711118,BaseScope™ LS Probe - BA-Mm-Serpina1a-3EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Serpina1a,"serine (or cysteine) peptidase inhibitor, clade A, member 1A",NM_009243.4,3,700,1182
711128,BaseScope™ LS Probe - BA-Mm-Apoa1-3EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Apoa1,apolipoprotein A-I,NM_009692.4,3,79,335
711138,BaseScope™ LS Probe - BA-Hs-CDKN2A-tv1-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CDKN2A,cyclin dependent kinase inhibitor 2A,NM_000077.4,1,425,465
711148,BaseScope™ LS Probe - BA-Hs-CDKN2A-tv4-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CDKN2A,cyclin dependent kinase inhibitor 2A,NM_058195.3,1,324,364
711158,BaseScope™ LS Probe - BA-Hs-AR-E4E3-Junc,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,,1,2688,2320
711168,BaseScope™ LS Probe - BA-Hs-PPP1R1B-tv1-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PPP1R1B,protein phosphatase 1 regulatory inhibitor subunit 1B,NM_032192.3,1,528,559
711178,BaseScope™ LS Probe - BA-Hs-PPP1R1B-tv2-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PPP1R1B,protein phosphatase 1 regulatory inhibitor subunit 1B,NM_181505.3,1,180,219
711188,BaseScope™ LS Probe - BA-Hs-SNX19-E8E10,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SNX19,sorting nexin 19,NM_014758.2,1,3085,3134
711198,BaseScope™ LS Probe - BA-Hs-SNX19-E9E10,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SNX19,sorting nexin 19,NM_014758.2,1,3275,3319
711208,BaseScope™ LS Probe - BA-Hs-GAD1-tvGAD67-E6E7,RNAscope LS 2.5 Target Probes,1,Homo sapiens,GAD1,glutamate decarboxylase 1,NM_000817.2,1,1048,1095
711218,BaseScope™ LS Probe - BA-Hs-SLC17A7-3EJ,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SLC17A7,solute carrier family 17 member 7,NM_020309.3,3,464,732
711228,BaseScope™ LS Probe - BA-Hs-SNAP25-3EJ,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SNAP25,synaptosome associated protein 25,NM_003081.4,3,287,661
711238,BaseScope™ LS Probe - BA-Mm-Resp18-4EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Resp18,regulated endocrine-specific protein 18,NM_009049.2,4,310,596
711248,BaseScope™ LS Probe - BA-Hs-ASAP1-circRNA-E4E3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,hsa_circ_0085616,1,201,12
711258,BaseScope™ LS Probe - BA-Hs-TAF1-tv1-E34E35,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TAF1,"Homo sapiens TATA-box binding protein associated factor 1 (TAF1), transcript variant 1, mRNA",NM_004606.4,1,5047,5084
711268,BaseScope™ LS Probe - BA-Hs-TAF1-tv3-E35E36,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TAF1,TATA-box binding protein associated factor 1,NM_001286074.1,1,5068,5112
711278,BaseScope™ LS Probe - BA-Hs-RTBDN-tv1-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,RTBDN,retbindin,NM_001080997.2,1,99,149
711288,BaseScope™ LS Probe - BA-Hs-RTBDN-tv6-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,RTBDN,retbindin,NM_001270443.1,1,35,75
711298,BaseScope™ LS Probe - BA-Mm-Rasgrf2-2EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Rasgrf2,RAS protein-specific guanine nucleotide-releasing factor 2,NM_009027.3,2,3004,3225
711308,BaseScope™ LS Probe - BA-Xl-ttyh1.L-2zz-st,RNAscope LS 2.5 Target Probes,1,Other,,,,2,1326,1411
711328,BaseScope™ LS Probe - BA-Xl-ttyh1.S-2zz-st,RNAscope LS 2.5 Target Probes,1,Other,,,,2,1642,2059
711338,BaseScope™ LS Probe - BA-Mm-C3-1zz-st1,RNAscope LS 2.5 Target Probes,1,Mus musculus,C3,complement component 3,NM_009778.3,1,104,146
711368,BaseScope™ LS Probe - BA-Hs-SNX19-E8E10-C2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SNX19,sorting nexin 19,NM_014758.2,,3085,3134
711378,BaseScope™ LS Probe - BA-Hs-GAD1-tvGAD67-E6E7-C2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,GAD1,glutamate decarboxylase 1,NM_000817.2,,1048,1095
711388,BaseScope™ LS Probe - BA-Hs-SLC17A7-3EJ-C2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SLC17A7,solute carrier family 17 member 7,NM_020309.3,,464,732
711398,BaseScope™ LS Probe - BA-Hs-SNX19-E9E10-C2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SNX19,sorting nexin 19,NM_014758.2,,3275,3319
711408,BaseScope™ LS Probe - BA-Hs-CCNB1-circRNA-E5E4,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,,NM_031966.3:617-958,1,921,627
711418,BaseScope™ LS Probe - BA-Hs-FOSB-tv1-1zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit",NM_006732.2,1,1411,1455
711428,BaseScope™ LS Probe - BA-Hs-FOSB-tvX1-1zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit",XM_005258691.1,1,1292,1329
711438,BaseScope™ LS Probe - BA-Mm-pre-Mir3060-1zz-st,RNAscope LS 2.5 Target Probes,1,Mus musculus,Mir3060,microRNA 3060,NR_037220.1,1,17,62
711448,BaseScope™ LS Probe - BA-Mm-pre-Mir3475-1zz-st,RNAscope LS 2.5 Target Probes,1,Mus musculus,Mir3475,microRNA 3475,NR_037208.1,1,18,61
711458,BaseScope™ LS Probe - BA-Mm-pre-Mir142-1zz-st,RNAscope LS 2.5 Target Probes,1,Mus musculus,Mir142,microRNA 142,NR_029555.1,1,2,51
711498,BaseScope™ LS Probe - BA-Hs-CHD2-4EJ,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CHD2,chromodomain helicase DNA binding protein 2,NM_001271.3,4,468,987
711508,BaseScope™ LS Probe - BA-Hs-USO1-tv2-E13E14,RNAscope LS 2.5 Target Probes,1,Homo sapiens,USO1,USO1 vesicle transport factor,NM_003715.3,1,1740,1790
711518,BaseScope™ LS Probe - BA-Hs-BCYRN1-1zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,BCYRN1,brain cytoplasmic RNA 1,NR_001568.1,1,151,192
711528,BaseScope™ LS Probe - BA-Mm-Col2a1-4EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Col2a1,"collagen, type II, alpha 1",NM_031163.3,4,573,864
711538,BaseScope™ LS Probe - BA-Hs-CD160-tvX2-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CD160,CD160 molecule,XM_005272929.3,1,211,260
711548,BaseScope™ LS Probe - BA-Hs-THRA-tv2-E9E10,RNAscope LS 2.5 Target Probes,1,Homo sapiens,THRA,"Homo sapiens thyroid hormone receptor, alpha (THRA), transcript variant 2, mRNA",NM_003250.5,1,1676,1721
711558,BaseScope™ LS Probe - BA-Hs-THRA-tv3-E9E10,RNAscope LS 2.5 Target Probes,1,Homo sapiens,THRA,"thyroid hormone receptor, alpha",NM_001190918.1,1,1676,1712
711568,BaseScope™ LS Probe - BA-Hs-ANKHD1-tv2-E2E3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ANKHD1,ankyrin repeat and KH domain containing 1,NM_017978.2,1,605,646
711578,BaseScope™ LS Probe - BA-Hs-ANKHD1-tv3-E2E3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ANKHD1,"Homo sapiens ankyrin repeat and KH domain containing 1 (ANKHD1), transcript variant 3, mRNA",NM_024668.3,1,605,648
711588,BaseScope™ LS Probe - BA-Hs-MED6-tv1-E4E5,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MED6,mediator complex subunit 6,NM_001284209.1,1,399,448
711598,BaseScope™ LS Probe - BA-Hs-MED6-tv2-E4E5,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MED6,mediator complex subunit 6,NM_005466.3,1,399,448
711608,BaseScope™ LS Probe - BA-Hs-NCOA7-tv1-E8E9,RNAscope LS 2.5 Target Probes,1,Homo sapiens,NCOA7,nuclear receptor coactivator 7,NM_181782.4,1,1244,1288
711618,BaseScope™ LS Probe - BA-Hs-NCOA7-tv2-E8E9,RNAscope LS 2.5 Target Probes,1,Homo sapiens,NCOA7,nuclear receptor coactivator 7,NM_001122842.2,1,1245,1283
711628,BaseScope™ LS Probe - BA-Hs-ORAI2-tv1-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ORAI2,ORAI calcium release-activated calcium modulator 2,NM_001126340.2,1,124,160
711638,BaseScope™ LS Probe - BA-Hs-ORAI2-tv3-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ORAI2,ORAI calcium release-activated calcium modulator 2,NM_001271818.1,1,124,162
711648,BaseScope™ LS Probe - BA-Hs-BCLAF1-tv1-E4E5,RNAscope LS 2.5 Target Probes,1,Homo sapiens,BCLAF1,BCL2 associated transcription factor 1,NM_014739.2,1,1258,1310
711658,BaseScope™ LS Probe - BA-Hs-BCLAF1-tv3-E4E5,RNAscope LS 2.5 Target Probes,1,Homo sapiens,BCLAF1,BCL2 associated transcription factor 1,NM_001077441.1,1,1258,1303
711668,BaseScope™ LS Probe - BA-Hs-ZBED5-tv1-E2E3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ZBED5,zinc finger BED-type containing 5,NM_021211.3,1,314,368
711678,BaseScope™ LS Probe - BA-Hs-ZBED5-tv2-E2E3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ZBED5,zinc finger BED-type containing 5,NM_001143667.1,1,314,361
711688,BaseScope™ LS Probe - BA-Hs-ABCC5-tv2-E5E7,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ABCC5,ATP binding cassette subfamily C member 5,NM_001023587.2,1,750,864
711698,BaseScope™ LS Probe - BA-Hs-ABCC5-tv2-E6E7,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ABCC5,ATP binding cassette subfamily C member 5,NM_001023587.2,1,824,864
711708,BaseScope™ LS Probe - BA-Hs-ELOB-tv1-1zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ELOB,elongin B,NM_007108.3,1,719,762
711718,BaseScope™ LS Probe - BA-Hs-ELOB-tv2-E4E5,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ELOB,elongin B,NM_207013.2,1,382,419
711728,BaseScope™ LS Probe - BA-Hs-TMEM14C-tv1-E1E3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TMEM14C,transmembrane protein 14C,NM_001165258.1,1,300,415
711738,BaseScope™ LS Probe - BA-Hs-TMEM14C-tv1-E2E4,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TMEM14C,transmembrane protein 14C,NM_001165258.1,1,374,492
711828,BaseScope™ LS Probe - BA-Hs-PPP1R1B-4EJ,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PPP1R1B,protein phosphatase 1 regulatory inhibitor subunit 1B,NM_032192.3,4,582,923
711838,BaseScope™ LS Probe - BA-Hs-ROR1-tv1-2EJ,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ROR1,receptor tyrosine kinase like orphan receptor 1,NM_005012.3,2,1565,1797
711848,BaseScope™ LS Probe - BA-Hs-REST-N3cE4,RNAscope LS 2.5 Target Probes,1,Homo sapiens,REST,RE1 silencing transcription factor,JX896962.1,1,214,266
712018,BaseScope™ LS Probe - BA-Hs-DMD-E44E48,RNAscope LS 2.5 Target Probes,1,Homo sapiens,DMD,dystrophin,NM_004006.2,1,6647,6694
712028,BaseScope™ LS Probe - BA-Hs-LAG3-202-3zz-st,RNAscope LS 2.5 Target Probes,1,Bacillus subtilis subsp. subtilis str. SMY,,,ENST00000441671.6,3,1392,1510
712038,BaseScope™ LS Probe - BA-Hs-EPO-codon-2zz-st,RNAscope LS 2.5 Target Probes,1,Bacillus subtilis subsp. subtilis str. SMY,,,,2,311,582
712048,BaseScope™ LS Probe - BA-Hs-TNFSF9-2EJ,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TNFSF9,TNF superfamily member 9,NM_003811.3,2,281,365
712058,BaseScope™ LS Probe - BA-mAlb-hF9-E1E2,RNAscope LS 2.5 Target Probes,1,Bacillus subtilis subsp. subtilis str. SMY,,,,1,67,107
712068,BaseScope™ LS Probe - BA-Mm-Mga-tv1-E18E19,RNAscope LS 2.5 Target Probes,1,Mus musculus,Mga,MAX gene associated,NM_013720.2,1,7249,7296
712078,BaseScope™ LS Probe - BA-Mm-Mga-tvX13-E18E19,RNAscope LS 2.5 Target Probes,1,Mus musculus,Mga,MAX gene associated,XR_866290.2,1,7761,7805
712088,BaseScope™ LS Probe - BA-Mm-Stra8-4EJ,RNAscope LS 2.5 Target Probes,1,Mus musculus,Stra8,stimulated by retinoic acid gene 8,NM_009292.1,4,417,467
712098,BaseScope™ LS Probe - BA-Hs-NKX2-1-203-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,NKX2-1,NK2 homeobox 1,ENSG00000136352:ENST00000518149,1,570,601
712108,BaseScope™ LS Probe - BA-Hs-NKX2-1-E2E3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,NKX2-1,NK2 homeobox 1,NM_001079668.2,1,537,567
712118,BaseScope™ LS Probe - BA-Hs-TCRB-CDR3,RNAscope LS 2.5 Target Probes,1,Bacillus subtilis subsp. subtilis str. SMY,,,,1,275,317
712128,BaseScope™ LS Probe - BA-Hs-UBC-1zz-LE25LE26,RNAscope LS 2.5 Target Probes,1,Bacillus subtilis subsp. subtilis str. SMY,,,,,,
712138,BaseScope™ LS Probe - BA-Hs-HLA-G-1zz-st1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,HLA-G,"major histocompatibility complex, class I, G",NM_002127.5,1,49,94
712148,BaseScope™ LS Probe - BA-Mm-pre-Mir99a-1zz-st,RNAscope LS 2.5 Target Probes,1,Mus musculus,Mir99a,microRNA 99a,NR_029535.1,1,2,42
712158,BaseScope™ LS Probe - BA-Mm-pre-Mir99b-1zz-st,RNAscope LS 2.5 Target Probes,1,Mus musculus,Mir99b,microRNA 99b,NR_029536.1,1,2,37
712168,BaseScope™ LS Probe - BA-Mm-pre-Mir100-1zz-st,RNAscope LS 2.5 Target Probes,1,Mus musculus,Mir100,microRNA 100,NR_029790.1,1,2,44
712178,BaseScope™ LS Probe - BA-Mm-Khk-tv2-E2E3,RNAscope LS 2.5 Target Probes,1,Mus musculus,Khk,ketohexokinase,NM_008439.4,1,558,596
712188,BaseScope™ LS Probe - BA-Mm-Khk-tv4-E3E4,RNAscope LS 2.5 Target Probes,1,Mus musculus,Khk,ketohexokinase,NM_001349066.1,1,675,711
712198,BaseScope™ LS Probe - BA-Mm-Synj2bp-E2-intron2-NJ,RNAscope LS 2.5 Target Probes,1,Other,,,,1,127,169
712208,BaseScope™ LS Probe - BA-Mm-Ift81-E17-intron17-NJ,RNAscope LS 2.5 Target Probes,1,Other,,,,1,76,119
712218,BaseScope™ LS Probe - BA-Hs-CRBN-E1E2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CRBN,cereblon,NM_016302.3,1,72,108
712228,BaseScope™ LS Probe - BA-Hs-CRBN-E2E3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CRBN,cereblon,NM_016302.3,1,168,217
712238,BaseScope™ LS Probe - BA-Mm-Runx2-1zz-st,RNAscope LS 2.5 Target Probes,1,Mus musculus,Runx2,runt related transcription factor 2,NM_001146038.2,1,682,723
712248,BaseScope™ LS Probe - BA-Rn-pre-Mir16-1zz-st,RNAscope LS 2.5 Target Probes,1,Rattus norvegicus,Mir16,microRNA 16,NR_031817.1,1,11,57
712258,BaseScope™ LS Probe - BA-Hs-CHD2-tv1-E30E31,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CHD2,chromodomain helicase DNA binding protein 2,NM_001271.3,1,4426,4471
712278,BaseScope™ LS Probe - BA-Hs-ATG4B-E10E11,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ATG4B,autophagy related 4B cysteine peptidase,NM_013325.4,1,1034,1070
712288,BaseScope™ LS Probe - BA-Mm-lncRNA-chr9-4zz-st,RNAscope LS 2.5 Target Probes,1,Other,,,NC_000075.6:67803388-67803813,4,2,175
712298,BaseScope™ LS Probe - BA-Hs-MASCRNA-1zz-st,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MASCRNA,MALAT1-associated small cytoplasmic RNA,NR_144569.1,1,2,39
712308,BaseScope™ LS Probe - BA-Hs-EXD3-4EJ,RNAscope LS 2.5 Target Probes,1,Homo sapiens,EXD3,exonuclease 3&apos;-5&apos; domain containing 3,NM_017820.4,,126,499
712318,BaseScope™ LS Probe - BA-Hs-LAMA5-4EJ,RNAscope LS 2.5 Target Probes,1,Homo sapiens,LAMA5,laminin subunit alpha 5,NM_005560.4,,340,765
712328,BaseScope™ LS Probe - BA-Hs-LRP1-4EJ,RNAscope LS 2.5 Target Probes,1,Homo sapiens,LRP1,LDL receptor related protein 1,NM_002332.2,,508,926
